,predict,true
0,136.8728777483497,134.47
1,134.544169762188,136.96
2,136.88391976405032,138.34
3,138.29467821023354,140.04
4,139.98616019214157,137.39
5,137.47138550226066,141.23
6,141.10834465439106,143.17
7,143.10500389679027,144.2
8,144.1657270996113,144.34
9,144.33454715037206,144.52
10,144.51419730145162,146.09
11,146.04074549945253,147.64
12,147.59046141074327,146.68
13,146.70834895356103,149.1
14,149.02498685558277,148.75
15,148.75863956607313,148.37
16,148.38221435820336,146.18
17,146.24900542875358,146.49
18,146.48243857377747,148.9
19,148.82421481349863,149.16
20,149.14950985312296,148.67
21,148.68499956599692,147.41
22,147.44980149099806,147.5
23,147.49843285389136,147.27
24,147.27713277482562,147.78
25,147.76429194010643,147.05
26,147.07233907712572,149.21
27,149.14280426564213,150.57
28,150.52561945104296,149.86
29,149.88077439875627,142.36
30,142.59164186327317,140.16
31,140.2296991223714,138.87
32,138.9085404381382,141.28
33,141.2116744627419,142.14
34,142.11347566635945,140.88
35,140.91542074875932,141.65
36,141.62883699201228,142.42
37,142.39725188353452,140.02
38,140.08863345840584,141.06
39,141.03173399730463,140.89
40,140.89413854057204,141.55
41,141.5308314591577,142.6
42,142.5688332840191,141.11
43,141.1527686230981,143.7
44,143.6243387208466,143.55
45,143.55220858726116,144.8
46,144.76290632773575,145.26
47,145.24525806365682,145.55
48,145.5409667412538,145.89
49,145.8796579432184,145.19
50,145.21045313387262,140.41
51,140.55070304845466,140.62
52,140.6179713746793,141.2
53,141.18291599752683,141.86
54,141.8401550277469,141.49
55,141.50027168451498,140.76
56,140.78169693498913,134.45
57,134.63237603450168,134.39
58,134.39691287410955,135.3
59,135.2741752419065,134.73
60,134.74558761629933,135.09
61,135.08012740882467,136.39
62,136.35251181099963,136.94
63,136.92323744010423,136.18
64,136.2012461442932,135.84
65,135.85031637549721,135.98
66,135.97629569669857,133.75
67,133.81365558911168,135.6
68,135.54819899814768,137.35
69,137.2983320974674,136.01
70,136.04726777740646,136.4
71,136.38977813225065,135.0
72,135.04034540520786,135.02
73,135.02059045609602,131.71
74,131.8060278356023,130.97
75,130.99397740922635,130.79
76,130.795852275764,130.57
77,130.57647919758315,130.49
78,130.49248071165837,129.3
79,129.3341932527168,128.19
80,128.22263839983975,128.93
81,128.9097599601641,129.64
82,129.61914123597953,130.19
83,130.17371983480666,128.25
84,128.30509490979776,128.05
85,128.05729021990246,126.16
86,126.21412436877719,125.45
87,125.47174052775435,125.58
88,125.57692555391675,124.65
89,124.6763934511153,123.28
90,123.3195673179969,124.7
91,124.66071457974395,123.69
92,123.71783393688439,125.94
93,125.87578284758808,126.57
94,126.55005788822646,124.05
