Model,MSE,MAE,R^2
LSTM,0.30922597971446664,0.40096494999999993,0.9701746731808628
GARCH,1.0858536223723347,0.761944177030008,-0.038727167719027955
LSTM-GARCH,0.30288365483283997,0.39203277230262756,0.9690999701785553
