,predict,true
0,221.2448401113429,214.25
1,215.14926152136005,221.39
2,220.57044264742254,227.87
3,226.92373983371837,228.87
4,228.61974991210275,224.51
5,225.04254973480994,242.98
6,240.5941394877963,247.11
7,246.29345518946062,241.55
8,242.16143206922985,241.97
9,241.99474757021474,241.73
10,241.76424511680196,241.68
11,241.69089716043072,241.22
12,241.2809097149124,242.05
13,241.95050583498383,245.03
14,244.63196704050475,247.58
15,247.20055880633822,247.49
16,247.45276270974244,241.76
17,242.49399085247347,240.33
18,240.60722648420142,255.14
19,253.24459936738035,254.69
20,254.50482950634384,255.02
21,254.95340176144626,250.2
22,250.81588809400378,245.12
23,245.8495302558061,244.37
24,244.55862168518482,247.4
25,247.03617536300735,245.42
26,245.62727412801146,252.51
27,251.6239820237219,256.92
28,256.2493449346531,257.22
29,257.0973287645414,249.01
30,250.03972523330341,244.69
31,245.35762089385955,240.45
32,241.0554294391204,241.8
33,241.70795087445765,244.43
34,244.09293246176244,238.19
35,238.92549035797597,238.73
36,238.754317729815,236.96
37,237.1833984614687,234.53
38,234.85961559205123,241.01
39,240.2405814733975,239.82
40,239.87260003353856,239.58
41,239.61665738422013,229.1
42,230.41609126297752,222.31
43,223.28392300525584,224.93
44,224.73071484862353,227.12
45,226.82960625244826,228.85
46,228.6050184462679,235.77
47,234.90717100719164,238.51
48,238.0820707679381,239.23
49,239.0937090978275,240.35
50,240.20084839715756,235.81
51,236.3327340013025,231.93
52,232.44964134377298,240.22
53,239.28833961887838,242.58
54,242.18977116449315,242.04
55,242.0577908558868,240.61
56,240.7821622253443,248.0
57,247.13810204219135,248.16
58,248.0386322422273,242.71
59,243.34698772086736,247.81
60,247.27200340615377,252.75
61,252.09506418776303,264.6
62,263.1527599813739,258.35
63,258.91697798001263,256.77
64,257.0248013124072,267.56
65,266.29549935106513,266.73
66,266.6781974869817,263.62
67,263.9872251422037,263.1
68,263.20639672972766,271.32
69,270.3426626404128,272.17
70,271.9518776919411,269.32
71,269.6359846874963,262.15
72,263.0424644035683,258.06
73,258.64283220695756,252.67
74,253.35923409862818,251.51
75,251.7221748564917,254.77
76,254.41846462405005,249.22
77,249.82322275852496,250.16
78,250.12092493439786,249.42
