Model,MSE,MAE,R^2
GRU,2649.597924048544,12.233447687500004,0.9628929844848855
GARCH,390.6408623491975,18.306872286397454,-18.301792820850764
GRU-GARCH,3010.254638671875,15.938905715942383,0.9578300714492798
