,predict,true
0,214.6873005605996,215.31
1,215.32418562635624,207.47
2,207.29108094858188,197.08
3,196.84719666313066,191.3
4,191.17345589460362,177.59
5,177.27989142878906,190.72
6,191.02623814472972,195.97
7,196.08272730041543,190.95
8,190.83298881420748,194.42
9,194.50175659246702,186.92
10,186.74724471420842,183.17
11,183.08846724087553,180.19
12,180.12393031087154,167.87
13,167.59057470914328,169.91
14,169.96287187909547,183.2
15,183.50186562963447,182.86
16,182.84536459044824,182.92
17,182.92170186385403,180.83
18,180.7823043067832,194.7
19,195.01725887671824,194.7
20,194.69276862444957,194.86
21,194.8638119307057,182.45
22,182.16704026707902,179.82
23,179.76648722330458,174.04
24,173.90941462172427,173.44
25,173.4292953691157,179.05
26,179.17817384113468,167.82
27,167.56116781155396,160.95
28,160.79922561744863,156.8
29,156.70876714473303,157.67
30,157.69192754530619,150.23
31,150.05979267731888,149.87
32,149.86567080176684,137.8
33,137.5247754101371,137.57
34,137.5710315646199,125.35
35,125.07124410540393,123.15
36,123.10616802765078,109.1
37,108.78036911266364,112.71
38,112.79962094415039,121.82
39,122.02581497441854,123.18
40,123.2063370434094,108.1
41,107.75533759595855,113.64
42,113.77412854085183,110.34
43,110.26174039691614,113.06
44,113.12376255765447,119.77
45,119.92147472185242,118.85
46,118.82558210179667,123.22
47,123.3201398261202,123.56
48,123.5654659634263,122.4
49,122.37344112965806,131.49
50,131.6977255540868,128.78
51,128.71353834402768,127.17
52,127.13483792110048,133.42
53,133.5631630088603,143.75
54,143.98219153507483,143.89
55,143.88789872347033,144.43
56,144.44235620790116,160.27
57,160.630793659674,177.9
58,178.29476792425882,166.66
59,166.39458942852283,173.22
60,173.37557018201232,181.41
61,181.59324258273233,188.27
62,188.42236214042015,189.98
63,190.015548822871,194.76
64,194.86828750018495,196.81
65,196.8543216881132,201.29
66,201.39125809670165,207.32
67,207.45537830678123,196.89
68,196.64890540443196,194.64
69,194.59414852443976,209.25
70,209.5844238119889,214.24
71,214.34630430223322,202.04
72,201.759143981287,208.31
73,208.45937035358622,197.37
74,197.11733922878875,200.86
75,200.94523420709723,202.07
76,202.09561705187264,196.88
77,196.76121887634565,207.63
78,207.8773739247469,205.71
79,205.66068396104632,202.77
80,202.70421897486244,190.9
81,190.63128335074825,197.79
82,197.95281502458988,193.81
83,193.7158058137289,187.71
84,187.5734087918621,182.0
85,181.87319914127218,172.92
86,172.71620112843334,173.44
87,173.4564742554073,174.48
88,174.50329697758033,183.26
89,183.45933477823752,180.45
90,180.38151667001853,184.13
91,184.21529477239736,180.13
92,180.0370564649041,183.25
93,183.32308658883858,197.58
94,197.90447140908594,191.15
95,190.99643958971518,192.22
96,192.24781576355085,190.41
97,190.36822063035163,191.81
98,191.84277530767102,189.19
99,189.12969813842935,193.88
100,193.98796736730503,195.28
101,195.3093678180504,207.46
102,207.73622664875293,194.77
103,194.47573292432492,192.58
104,192.5369652748754,185.52
105,185.36068326282128,185.06
106,185.05317306197085,184.51
107,184.49766726650827,186.79
108,186.84204660424774,180.54
109,180.39693675182173,185.9
110,186.02487779889836,185.0
111,184.97674446025562,187.04
112,187.08681650817988,184.31
113,184.24699637494595,180.59
114,180.50701695068383,162.99
115,162.59224664875154,165.08
116,165.1364584095827,162.55
117,162.49130196637182,160.67
118,160.62866465912182,153.75
119,153.5938652685962,160.19
120,160.33964826084377,164.31
121,164.40010203396437,161.83
122,161.7716806615621,160.31
123,160.2768309589086,160.61
124,160.61756036637,161.2
125,161.2132169117231,170.06
126,170.26076457512931,171.79
127,171.824708002228,169.15
128,169.0892951900588,168.54
129,168.5275330983597,172.08
130,172.16062605321068,167.98
131,167.88513279473835,166.35
132,166.3151622312297,166.52
133,166.5246485171844,173.86
134,174.02646926368922,176.89
135,176.9549988622973,180.14
136,180.2123031810995,188.87
137,189.06659533337486,185.77
138,185.69516602545525,182.9
139,182.8365410111311,184.47
140,184.50708287349045,193.17
141,193.3666974620145,201.16
142,201.33707522154342,203.93
143,203.988927448429,207.52
144,207.6002561374691,213.97
145,214.11480852629572,217.61
146,217.6894769091766,221.31
147,221.39233783851026,224.57
148,224.64227482687863,234.86
149,235.09247631099822,244.4
150,244.61197366067407,249.83
151,249.9488973006024,258.71
152,258.90972370539635,256.79
153,256.7416873859656,255.9
154,255.8808155673343,260.54
155,260.6461917846924,274.45
156,274.76482952728827,259.46
157,259.1117229188567,264.61
158,264.73500437201164,256.6
159,256.4151312301369,241.05
160,240.70036155674333,250.21
161,250.42605202847395,256.24
162,256.3721742151257,257.5
163,257.5256420814651,261.77
164,261.8665037720049,279.82
165,280.2285351016839,282.48
166,282.5312504961036,276.54
167,276.4036252989204,274.43
168,274.38507042870515,269.61
169,269.50128482974105,269.79
170,269.796573118968,271.99
171,272.0399380504067,277.9
172,278.0334348792162,281.38
173,281.4562170937566,290.38
174,290.5832992024919,293.34
175,293.4028175027359,291.26
176,291.2111731804557,262.9
177,262.25446213215463,260.02
178,259.96902675757457,269.06
179,269.26739539266805,265.28
180,265.1890718332703,264.35
181,264.3308648637901,255.71
182,255.51338569531205,266.44
183,266.6889507310279,267.43
184,267.44688531316547,261.07
185,260.92469851586094,254.11
186,253.95465237826713,259.32
187,259.4422620266958,253.86
188,253.732836114136,251.45
189,251.3979898519182,249.7
190,249.66131275846072,242.19
191,242.01975085408463,245.34
192,245.41563790750126,242.65
193,242.58700228363196,239.76
194,239.69559892206,232.96
195,232.80652794279462,225.6
196,225.43571609487182,219.22
197,219.0782379592623,215.49
198,215.40814408658986,231.28
199,231.64186707471438,233.19
200,233.22530349602636,236.86
201,236.94289424614132,230.04
202,229.8826110906706,238.59
203,238.78840347073753,238.82
204,238.8207199378193,257.18
205,257.59832232809714,256.9
206,256.8840919255471,258.08
207,258.10724509635725,245.01
208,244.71171105642088,256.49
209,256.75780771712294,251.92
210,251.8100685472751,251.49
211,251.48272648419302,248.5
212,248.43221043291936,273.58
213,274.1510646401917,267.48
214,267.3287973049282,271.3
215,271.38999399000403,276.04
216,276.14539850557054,274.39
217,274.35021539204894,265.28
218,265.07439422975665,266.5
219,266.5323106711286,262.59
220,262.50065429375894,255.7
221,255.54583166629067,244.88
222,244.63802863711172,246.99
223,247.04334305806296,244.12
224,244.0537020106687,240.5
225,240.41939736809223,246.38
