,predict,true
0,90.75155402220155,88.91
1,88.9947167637038,90.79
2,90.70723880608637,96.72
3,96.44414933248903,96.47
4,96.46881500198539,101.47
5,101.2407271452758,111.87
6,111.395298931989,113.02
7,112.94820599256708,114.22
8,114.1637359889267,117.08
9,116.9512296913184,113.23
10,113.39518207531886,111.45
11,111.5360435187097,112.05
12,112.02724937234589,109.86
13,109.95598629047726,111.44
14,111.37417767727173,112.24
15,112.20161739063163,111.41
16,111.44510642788568,108.78
17,108.89807679573198,109.46
18,109.43508932425608,118.1
19,117.71653632641477,120.44
20,120.32106093993572,123.49
21,123.35208076289766,122.43
22,122.47019051725161,114.12
23,114.48286605787904,113.93
24,113.95393399364346,115.33
25,115.2703022427551,115.9
26,115.87269385495532,114.71
27,114.76044043949935,120.15
28,119.91548132457751,121.59
29,121.51750175828921,116.15
30,116.38369592648851,119.43
31,119.29637816089479,114.48
32,114.69276321111997,117.09
33,116.98355321458227,119.76
34,119.6370329695603,117.12
35,117.2318616444336,118.04
36,118.00404920507445,116.88
37,116.93002918258473,115.62
38,115.67826543475745,120.26
39,120.05560894214052,120.34
40,120.32732627130635,124.74
41,124.5434691237063,127.37
42,127.2449276718833,126.94
43,126.9535019725639,130.02
44,129.88415682512712,129.47
45,129.4883543906477,132.99
46,132.8347112100893,132.89
47,132.88754895176461,136.71
48,136.540565595855,136.98
49,136.9605435862962,135.36
50,135.43092097711838,133.02
51,133.12662821783132,136.15
52,136.01580853492194,139.37
53,139.22183652500604,143.27
54,143.09242011900787,143.14
55,143.13791327697234,141.5
56,141.5718749192022,147.3
57,147.0475072190928,151.74
58,151.53595788240224,147.06
59,147.25677863828335,148.97
60,148.89440285347393,153.12
61,152.93406528306025,188.77
62,187.31163716960125,186.53
63,186.56140839130654,186.06
64,186.08071052120687,191.62
65,191.39091222679914,183.43
66,183.76631156925026,177.92
67,178.1613420177545,174.15
68,174.31361336125892,179.43
69,179.21891093621835,179.48
70,179.46923646981492,177.16
71,177.25529796917678,172.44
72,172.63759508206658,172.88
73,172.87005085562527,172.08
74,172.11244319477117,171.12
75,171.16073764252897,172.04
76,172.0038920358036,170.39
77,170.45632221723386,169.54
78,169.5776269143809,174.94
79,174.719212430768,173.42
80,173.4736492050382,174.53
81,174.486329755996,185.25
82,184.80746928457026,184.9
83,184.89620679849716,184.51
84,184.52587207256562,184.97
85,184.95174600786444,181.69
86,181.82415504576028,179.51
87,179.60480055112,180.9
88,180.84685158389473,194.02
89,193.4836854368873,197.75
90,197.5818836576533,204.93
91,204.64482692747097,195.61
92,195.97303492590666,197.81
93,197.73561255648372,202.16
94,201.9811625627473,199.81
95,199.89816222585412,204.28
96,204.10122680548116,206.01
97,205.93246997404276,202.84
98,202.96605450186027,200.68
99,200.77285182156317,205.35
100,205.16304302551393,207.84
101,207.73134925917805,211.94
102,211.7701786094338,213.07
103,213.01771288487123,214.72
104,214.65158757294768,211.48
105,211.60782323979225,216.1
106,215.91769398270281,214.75
107,214.79750148692492,213.85
108,213.88854013493534,214.0
109,213.9954660567763,220.35
110,220.09156513952303,221.49
111,221.43342826787367,218.86
112,218.96440923385617,217.89
113,217.93352859801817,215.7
114,215.790378149362,213.07
115,213.17972329214876,212.89
116,212.90168015788169,212.79
117,212.79450298325736,207.55
118,207.76138768036787,209.4
119,209.33370188234326,238.56
120,237.402035433709,240.32
121,240.21134982500163,243.18
122,243.06825360127885,239.24
123,239.38504741431123,237.03
124,237.11880781570778,233.52
125,233.65507971296364,232.78
126,232.81278383257867,233.27
127,233.2528623179433,233.37
128,233.36560940666894,233.08
129,233.0907055598725,235.79
130,235.68878063037343,233.81
131,233.88063254218574,238.86
132,238.67189745630012,238.82
133,238.81440974823076,242.485
134,242.3464734303161,246.85
135,246.68158779461598,245.64
136,245.6790457469886,248.32
137,248.22083625202353,246.74
138,246.79571138665167,249.21
139,249.11899967043342,252.69
140,252.5560158448344,262.04
141,261.6908174658482,262.52
142,262.4896515776647,264.72
143,264.638336575075,272.61
144,272.3210351648943,272.61
145,272.5995512109764,271.39
146,271.43380993263185,271.12
147,271.131363636888,263.6
148,263.87232831296217,264.58
149,264.55436484412854,264.95
150,264.9356533956064,271.05
151,270.82858475353277,271.32
152,271.3022473986462,273.35
153,273.2760287652417,281.83
154,281.52405083489316,281.0
155,281.01876458144716,284.33
156,284.21121279913143,281.64
157,281.732653721883,284.88
158,284.76609204188355,288.73
159,288.5875030641098,278.47
160,278.84193459011254,287.05
161,286.7354830721074,285.29
162,285.3457527653402,281.53
163,281.67701632804415,286.98
164,286.7735939816384,286.02
165,286.04938296026546,294.37
166,294.04464366813534,291.99
167,292.0709231142046,290.53
168,290.59068794530066,294.1
169,293.96139872395133,298.29
170,298.1203451308476,309.34
171,308.9113785405188,313.41
172,313.2430213959519,308.87
173,309.03449596837993,310.62
174,310.5601452888949,312.05
175,311.99380150914,316.01
176,315.8589943374609,302.52
177,303.03563473563224,294.26
178,294.578353933206,291.61
179,291.71628580127026,294.47
180,294.37076813970475,298.57
181,298.41957377806756,311.71
182,311.24881681716266,325.48
183,325.04036872205216,318.6
184,318.8105235903423,322.71
185,322.58034678761817,314.31
186,314.5899824933541,313.19
187,313.2370391611406,310.73
188,310.8141369101041,316.56
189,316.3655503121944,312.64
190,312.7675287949292,305.21
191,305.4649108694878,305.74
192,305.73071853418577,301.64
193,301.7781821174652,306.19
194,306.0394883586524,301.95
195,302.090883359734,294.29
196,294.5541432730767,285.09
197,285.3965595535811,283.25
198,283.3186347737655,289.9
199,289.68717197579315,287.6
200,287.6679902237558,294.24
201,294.0242080063761,286.75
202,286.9952471528835,285.5
203,285.55010402858744,290.26
204,290.1013021207819,297.99
205,297.72982069372466,295.1
206,295.1877244737764,295.89
207,295.86652509410595,296.38
208,296.36283755656007,300.15
209,300.02356354789947,299.17
210,299.1985418782618,298.67
211,298.6876744818759,297.89
212,297.9166677020296,307.56
213,307.23615891193026,301.66
214,301.85261974977806,305.06
215,304.94804400354917,311.72
216,311.48617911654884,300.31
217,300.7119607685997,302.55
218,302.4832839018846,305.07
219,304.97608273810954,299.67
220,299.86404407012657,295.73
221,295.8794314284445,299.08
222,298.9634506551294,300.83
223,300.76221863004326,298.96
224,299.0255739247557,297.74
225,297.7867221720742,303.96
226,303.73465984716694,300.21
227,300.3400181287038,306.82
228,306.57821265531555,300.94
229,301.1540934411935,305.58
230,305.40990255877097,304.79
231,304.8138600379897,315.43
232,315.02027024973336,318.36
233,318.2336014915682,321.84
234,321.7041693027491,327.82
235,327.5922904787003,324.16
236,324.28911779822835,314.69
237,315.04575568448894,321.15
238,320.9173265501826,324.0
239,323.88338589388917,316.97
240,317.23459681260164,312.81
241,312.97673022750877,308.65
242,308.8114712728836,314.01
243,313.8136986238845,312.55
244,312.59786500749743,299.53
245,300.02171863925247,288.35
246,288.7543424678079,296.73
247,296.43915550197323,302.66
248,302.43823242109085,301.27
249,301.31182406340014,311.85
250,311.4704798850566,310.87
251,310.8916520451028,314.6
252,314.46594989007946,315.8
253,315.75191250370125,318.82
254,318.70964099047774,319.78
255,319.7415716105827,320.55
256,320.5209854252149,328.77
257,328.47502293187125,329.19
258,329.1645443370902,336.31
259,336.0562311178867,332.71
260,332.8302245920159,334.19
261,334.1410009172334,335.04
262,335.00761889382807,339.97
263,339.79168820128996,336.98
264,337.0817204493202,341.49
265,341.3295149648543,338.23
266,338.3435841386886,334.7
267,334.8328208864352,338.99
268,338.837270125038,332.2
269,332.4471190460084,327.15
270,327.3437511231322,324.82
271,324.91167862015715,320.02
272,320.1965656973256,318.29
273,318.3584598115669,317.45
274,317.4826009960237,326.59
275,326.26163752681504,332.75
276,332.5234613020862,325.28
277,325.53965524443316,334.22
278,333.89914457919315,334.74
279,334.7090413853966,333.17
280,333.22678670436505,334.92
281,334.8574470944872,344.62
282,344.2622251167241,350.36
283,350.14362283204184,349.28
284,349.3107643478185,354.09
285,353.9193606949119,353.39
286,353.4089172479678,354.83
287,354.7791815597412,357.83
288,357.72114663628236,358.32
289,358.29865621818425,353.96
290,354.1149052092412,346.29
291,346.56443976882485,344.47
292,344.54275639226245,347.12
293,347.0300889123669,351.95
294,351.7794675431436,358.66
295,358.4259287881963,357.43
296,357.4639933255616,370.47
297,370.02334839144373,369.67
298,369.6821270066272,374.49
299,374.32452252742524,367.46
300,367.7002872685664,368.37
301,368.3465119273649,376.13
302,375.85728522105705,383.45
303,383.19240423975475,381.78
304,381.82820085452323,385.2
305,385.08457034722204,390.7
306,390.50970401568895,393.18
307,393.0902824872771,394.14
308,394.1047725652354,401.02
309,400.7888961073827,400.06
310,400.0844053796189,390.14
311,390.4723614102447,394.78
312,394.63295517003303,474.99
313,472.7182396155405,459.41
314,459.957267178074,454.72
315,454.95733934037173,469.59
316,468.90617391320257,470.0
317,469.9493207944852,468.11
318,468.19561206863204,468.9
319,468.86719923317867,460.12
320,460.5280574009969,473.28
321,472.6620757263499,484.03
322,483.50651942696817,473.32
323,473.8099513570446,471.75
324,471.8484815458283,468.03
325,468.21219611545285,486.13
326,485.25390950091275,484.03
327,484.08998631569693,481.74
328,481.85575661398053,487.05
329,486.79309035970545,484.02
330,484.15776615264593,490.13
331,489.8317027240555,502.3
332,501.6927368839333,498.19
333,498.36284079497335,490.22
334,490.6196690958609,496.09
335,495.81762573824034,512.19
336,511.3969778830198,505.95
337,506.22094899100637,483.59
338,484.680673894972,499.75
339,498.9432631253079,495.57
340,495.75421844922283,491.83
341,492.04427292776336,484.1
342,484.52943462673824,496.98
343,496.2863795054153,496.24
344,496.24258174789856,505.52
345,505.00337313123623,507.76
346,507.60788838098796,509.58
347,509.4712503442442,503.02
348,503.37727046033353,495.89
349,496.2985007373313,493.86
350,493.99222490474375,485.58
351,486.0331950726268,491.35
352,491.0598713887762,497.37
353,497.0285804384636,506.74
354,506.22496109196356,510.92
355,510.67489022411206,527.34
356,526.4926558381005,519.25
357,519.6311396327943,516.9
358,517.0435366060796,519.83
359,519.683093540875,523.16
360,522.9772043409931,511.9
361,512.4895812889412,500.23
362,500.854648266719,499.76
363,499.8154838513252,494.17
364,494.4559977424238,501.8
365,501.4231021111537,481.07
366,482.16152563717293,481.73
367,481.7529530651029,496.1
368,495.3269687192305,493.5
369,493.598885913064,441.38
370,444.1679664284933,443.29
371,443.3342525809958,432.62
372,433.17776120627383,430.17
373,430.3247892040596,439.19
374,438.7286467454054,441.68
375,441.52773807936967,451.96
376,451.4270010180321,465.68
377,464.9862528049592,468.24
378,468.0842840307822,472.6
379,472.3844547230824,475.42
380,475.27578778980853,476.2
381,476.15612772340484,468.01
382,468.39785451534107,471.85
383,471.6843165788183,481.54
384,481.0711550936632,473.23
385,473.61194452014445,471.91
386,471.99263413072526,468.84
387,468.9928717438483,464.63
388,464.84058415397965,467.78
389,467.6375435907314,465.78
390,465.87018659659117,478.22
391,477.61631751051704,479.92
392,479.8086407442802,474.36
393,474.62527789157326,467.05
394,467.41403109278673,466.83
395,466.8580105553376,477.49
396,476.9779424295221,476.99
397,476.98942028788014,495.06
398,494.19231446576026,493.76
399,493.7807061574331,492.96
400,492.99950952405317,502.6
401,502.13670777122326,507.47
402,507.2171056244113,508.84
403,508.76320825107234,504.1
404,504.32137766403554,504.16
405,504.1676573114568,506.63
406,506.51309115397254,499.49
407,499.82524624088893,501.7
408,501.61019791228455,494.78
409,495.10848498693514,498.91
410,498.7258181841075,510.6
411,510.03182373891576,513.12
412,512.9742598828012,519.56
413,519.2509666948459,504.22
414,504.9479978347406,504.68
415,504.6929309781981,509.5
416,509.26696471009194,509.96
417,509.9264487094517,539.91
418,538.470420744691,529.32
419,529.7902010991279,530.0
420,529.9890775824823,534.69
421,534.4450050677468,512.7
422,513.865539579088,498.87
423,499.5979440459857,496.16
424,496.324681573296,489.79
425,490.1014937989914,461.99
426,463.2522249499016,475.85
427,475.22645505162774,476.79
428,476.71222412757146,487.4
429,486.8709140131166,488.69
430,488.60060260286883,461.27
431,462.6405480203015,453.41
432,453.83523905585,465.7
433,465.1274214728203,465.71
434,465.68195180226695,463.19
435,463.31029825313516,474.83
436,474.2691688087046,497.74
437,496.6897049308999,488.14
438,488.5450435103239,475.73
439,476.3243245739848,494.09
440,493.2077978553815,488.92
441,489.13704151446865,509.63
442,508.5682117312566,517.77
443,517.3200801399099,515.95
444,516.0175532139114,528.54
445,527.9197631623089,526.76
446,526.8175531427486,537.33
447,536.8064559549136,527.42
448,527.8997079398564,529.28
449,529.2091917045843,526.73
450,526.8573973535638,535.16
451,534.7310548871666,531.93
452,532.0754817287832,528.0
453,528.2113050338475,521.12
454,521.4846736932849,519.1
455,519.2219955990782,516.78
456,516.9047794105529,518.22
457,518.1527453521815,521.31
458,521.1486730862538,511.76
459,512.2436109663056,512.74
460,512.7144259851212,516.86
461,516.6461722331984,500.27
462,501.1299006078119,504.79
463,504.5954791605116,504.79
464,504.779627100095,511.83
465,511.45423171593836,525.6
466,524.8660866935084,524.62
467,524.6327513761237,533.28
468,532.8311496858788,536.315
469,536.1358298724361,537.95
470,537.8567901225704,559.1
471,558.0207121419356,561.35
472,561.1850750545507,564.41
473,564.2499068019033,563.33
474,563.3757103278001,568.31
475,568.0645299997323,567.84
476,567.8511696704481,567.36
477,567.3844421707649,572.44
478,572.1882505632316,576.47
479,576.2581034263545,572.81
480,572.9813804313957,582.77
481,582.2792404306488,595.94
482,595.2801143119689,584.78
483,585.3074396095219,592.89
484,592.5010377949923,590.51
485,590.6125725089232,583.83
486,584.1786305697362,589.95
487,589.6504548746759,590.42
488,590.3800929743142,586.27
489,586.4834590238531,576.79
490,577.2882110223667,576.93
491,576.9483737702957,576.47
492,576.4945668708486,575.16
493,575.2285247920934,582.01
494,581.6609673468874,563.69
495,564.6434468877482,567.78
496,567.6118809540786,573.25
497,572.9475022650553,578.16
498,577.8825314367004,593.28
499,592.4777584896259,591.8
500,591.8353069009148,567.58
501,568.8489239256127,567.16
502,567.2467498281699,560.68
503,561.0182437758954,572.43
504,571.8308786180538,572.05
