Model,MSE,MAE,R^2
LSTM,2555.3648219768565,10.993874101562499,0.964212697619046
GARCH,390.6408623491975,18.306872286397454,-18.301792820850764
LSTM-GARCH,3080.260498046875,16.651845932006836,0.956849403639015
