,predict,true
0,131.60201026744048,138.34
1,137.9312982873452,134.97
2,135.14973187411877,135.43
3,135.41298768977202,132.19
4,132.38563944481362,134.21
5,134.0992393689401,141.56
6,141.1072214341657,143.01
7,142.89459334176172,146.02
8,145.83046614027336,137.76
9,138.24984996790025,157.5
10,156.32570911097795,163.27
11,162.84852082678822,162.95
12,162.9438328112362,166.66
13,166.43429444677238,159.1
14,159.5458548421503,156.77
15,156.9386236952625,154.09
16,154.2630073263397,153.17
17,153.23637508317975,160.38
18,159.9460550492508,165.19
19,164.87187617462104,162.7
20,162.83181436151122,158.27
21,158.54680649821475,156.39
22,156.5208233652162,169.23
23,168.4582732223331,171.35
24,171.1746727702894,168.76
25,168.90648793629515,166.1
26,166.27022721375104,159.87
27,160.25795365794718,161.2
28,161.14288947349695,171.69
29,171.05065826712874,170.01
30,170.07309086866363,175.35
31,175.029987721458,180.72
32,180.37530732613178,176.74
33,176.96037392165445,169.52
34,169.97070375551968,165.71
35,165.96778401275944,162.54
36,162.7472882333678,160.85
37,160.9647083916018,165.01
38,164.7653485378999,153.39
39,154.07897652588,152.06
40,152.18217143897078,141.21
41,141.8733911974135,140.36
42,140.45143591563124,146.03
43,145.69274071332615,146.14
44,146.11296719520774,143.15
45,143.32910838473342,147.49
46,147.23835428407278,142.65
47,142.92766301248614,148.59
48,148.24706109156946,156.28
49,155.794209166033,159.09
50,158.89089442883497,160.01
51,159.94239539795262,165.11
52,164.7978960314588,168.99
53,168.73701510710774,177.02
54,176.52076620066245,173.77
55,173.93590948542268,167.65
56,168.0289999864859,178.39
57,177.76392195687797,191.93
58,191.0782085301697,192.65
59,192.55558718241855,193.23
60,193.1894746662109,198.02
61,197.7297681108343,203.65
62,203.29466379778785,191.62
63,192.32244448877358,195.37
64,195.18645348399625,209.43
65,208.57291441350432,217.09
66,216.57985350161846,211.0
67,211.33490174572478,210.89
68,210.91670419384891,221.73
69,221.08073417279115,222.05
70,221.99183662129425,223.37
71,223.28728716179785,212.65
72,213.2887391139331,217.88
73,217.6039148372418,229.71
74,228.98307220156693,227.64
75,227.72067014155925,220.02
76,220.4826008474277,213.88
77,214.27589750497427,206.55
78,207.01239591117252,207.54
79,207.50841923991416,236.64
80,234.89608151200954,232.86
81,232.98192193022794,235.01
82,234.8883525883529,232.16
83,232.3236893508741,226.98
84,227.3004684370802,233.14
85,232.78946951979637,238.9
86,238.53357437409963,235.54
87,235.71962365112705,232.88
88,233.0503565106716,241.81
89,241.28402564005438,234.36
90,234.7765431311986,229.65
91,229.95808971412183,229.66
92,229.67791277920935,240.63
93,239.9716499926063,242.28
94,242.14139492628715,255.41
95,254.61418934187859,257.25
96,257.0921577949663,259.0
97,258.88573471247906,261.99
98,261.8041180376549,264.68
99,264.5078461946212,271.91
100,271.4672514680678,267.79
101,268.01013993251075,265.31
102,265.4715991988996,264.1
103,264.1820765486891,269.84
104,269.5012969117923,273.83
105,273.5711002889013,277.77
106,277.5190268930485,279.65
107,279.522668613424,274.53
108,274.8284569078054,268.81
109,269.16939600092246,270.37
110,270.29828764495386,275.79
111,275.46200819911286,271.69
112,271.91543478536113,264.95
113,265.365954312212,264.63
114,264.6739388124636,267.58
115,267.40646419438,270.02
116,269.8639758107615,276.67
117,276.26395399299554,279.31
118,279.1284200887858,271.04
119,271.5226713070842,271.19
120,271.20984760295295,270.42
121,270.46712832437566,262.41
122,262.89065919495937,269.56
123,269.1614502815168,272.26
124,272.074947712958,277.49
125,277.1668042705396,289.1
126,288.3893940623918,282.1
127,282.47541369043637,278.02
128,278.28578826549426,275.62
129,275.77895876184334,286.8
130,286.1421245417396,291.51
131,291.1903095651567,285.71
132,286.03684307932775,288.85
133,288.6821332547342,285.78
134,285.95322057200264,283.4
135,283.55235497404425,289.53
136,289.17308602350016,292.13
137,291.95356559564704,301.78
138,301.19430688260564,316.78
139,315.8561550557342,312.64
140,312.83092550489727,311.76
141,311.8236033637614,306.88
142,307.1735307592449,305.38
143,305.4864546049902,379.8
144,375.36521399132,389.46
145,388.65769557361585,401.11
146,400.3993890335015,378.34
147,379.6124319633717,397.7
148,396.643278637632,393.27
149,393.46752408633114,391.71
150,391.81296160680563,386.54
151,386.8488190632706,374.75
152,375.4569200184106,385.1
153,384.53439609896554,387.7
154,387.5144686283395,394.82
155,394.39214750936577,410.22
156,409.2969679993239,429.97
157,428.778776485021,426.53
158,426.65973784666596,426.92
159,426.90497015284126,438.08
160,437.43473097749774,430.45
161,430.8543303166046,430.25
162,430.28498212130404,422.09
163,422.56424030745694,406.32
164,407.2556322511518,418.76
165,418.0931765796407,411.17
166,411.5724321792451,408.22
167,408.4147351819621,423.02
168,422.1698873552402,424.13
169,424.01606287764184,423.17
170,423.2192037352178,421.03
171,421.1573077288755,425.03
172,424.80473998545784,421.8
173,421.97485139895105,424.05
174,423.92921776992233,439.02
175,438.1425410972877,459.77
176,458.5273034604458,454.69
177,454.9110196319062,464.61
178,464.0502979833639,474.94
179,474.31392117266853,470.77
180,470.97400794334084,455.2
181,456.1068716570215,443.09
182,443.8325458456015,446.12
183,445.98934712631444,456.79
184,456.1731801137428,454.52
185,454.6144483356259,459.0
186,458.7493516099822,467.5
187,467.0005596064692,467.29
188,467.27348471827025,465.07
189,465.1957622294008,442.69
190,443.972237582061,445.15
191,445.082904433491,446.8
192,446.70206742513,454.165
193,453.73958230787264,446.64
194,447.04541753675727,425.54
195,426.7619342794106,423.88
196,424.04326115270084,408.55
197,409.42647973299444,437.53
198,435.91608866006106,439.4
199,439.20080437304915,434.86
200,435.108742752439,433.435
201,433.53089150118893,432.99
202,433.0209887087249,469.67
203,467.56857062305073,456.68
204,457.31126929023753,471.16
205,470.3518525787699,471.63
206,471.55546731605017,460.18
207,460.8440571887248,468.35
