Model,MSE,MAE,R^2
LSTM,158.62780241584704,10.4956604875,0.904117528452254
GARCH,29.870265738484846,5.101129998502051,-3.3412449075129933
LSTM-GARCH,118.02359008789062,7.441091060638428,0.9267386450646546
