Model,MSE,MAE,R^2
GRU,148.77720017250735,9.2931321625,0.991890147478405
GARCH,27.664985709014854,5.064756724982603,-6.20468539534999
GRU-GARCH,137.85195922851562,8.303586959838867,0.9933934211730957
