Model,MSE,MAE,R^2
LSTM,6.772204468180207,1.9389595624999996,0.9898184518411309
GARCH,16.643066214110384,3.856158333084616,-14.937294687416992
LSTM-GARCH,15.675710678100586,2.839001178741455,0.9781372913394698
