Model,MSE,MAE,R^2
LSTM,26.67809824107855,3.9410744791666663,0.9933122430587954
GARCH,1.6439500778885927,1.0953744850375704,-0.5529118378907585
LSTM-GARCH,112.49861907958984,7.670652389526367,0.975121835794261
