Model,MSE,MAE,R^2
GRU,207.54505846656053,12.424488708333334,0.8745495249872589
GARCH,29.870265738484846,5.101129998502051,-3.3412449075129933
GRU-GARCH,83.29943084716797,6.473109722137451,0.948293149471283
